,Year,Cali.Immig,NY.Immig,Texas.Immig,Geor.Immig,Cali.Unemp,Geor.Unemp,Unemployment_NY,Texas.Unemp,Population_Calif,Population_Georgia,Population_NY,Population_Texas,ImRateCali,ImRateNY,ImRateGeor,ImRateTexas,CaliCrime,GeorgCrime,TexasCrime,NYCrime
1,1990,1450000,350000,450000,35000,5.8,5.5,5.366666667,6.4,29760021,6478216,17990455,16986510,0.048723084,0.019454761,0.005402722,0.02649161,10.452,7.563,7.614,11.809
2,1992,1690000,450000,560000,43000,9.3,5.4,8.608333333,7.6,30867000,6751000,18119000,17656000,0.054751029,0.024835808,0.006369427,0.031717263,11.197,7.332,8.063,11.221
3,1993,1810000,5.00E+05,615000,47000,9.4,6.9,7.9,7.2,31211000,6917000,18197000,18031000,0.057992374,0.027477057,0.006794853,0.034107925,10.778,7.231,7.621,10.735
4,1994,1930000,550000,670000,51000,8.6,6.02,6.941666667,6.5,31431000,7055000,18169000,18378000,0.061404346,0.030271341,0.007228916,0.036456633,10.13,6.677,7.065,9.656
5,1995,2050000,6.00E+05,725000,55000,7.9,5.2,6.316666667,6,31589000,7201000,18136000,18724000,0.064896008,0.03308337,0.007637828,0.038720359,9.66,6.571,6.639,8.419
6,1996,2090000,630000,790000,78000,7.3,4.83,6.258333333,5.7,31878000,7353000,18185000,19128000,0.065562457,0.034643937,0.010607915,0.041300711,8.627,6.387,6.444,7.27
7,1997,2130000,660000,855000,101000,6.4,4.68,6.416666667,5.3,32268000,7486000,18137000,19439000,0.066009669,0.036389701,0.013491851,0.043983744,7.983,6.066,6.025,6.886
8,1998,2170000,690000,920000,124000,6,4.5,5.608333333,4.8,32667000,7642000,18175000,19760000,0.066427894,0.037964237,0.016226119,0.046558704,7.037,5.727,5.646,6.378
9,1998,2170000,690000,920000,124000,5.2,4.5,5.608333333,4.8,32667000,7642000,18175000,19760000,0.066427894,0.037964237,0.016226119,0.046558704,7.037,5.727,5.646,6.378
10,2000,2250000,750000,1050000,170000,5,3.9,4.516666667,4.3,33871648,8186453,18976457,20851820,0.066427237,0.039522657,0.020766014,0.050355317,6.216,5.047,5.451,5.539
11,2001,2310000,770000,1140000,211000,5.5,3.6,5.366666667,5,34600463,8405677,19084350,21370983,0.066762112,0.040347195,0.025102083,0.053343358,6.152,4.957,5.716,5.136
12,2002,2370000,790000,1230000,252000,6.7,4.05,6.141666667,6.4,35001986,8544005,19134293,21736925,0.067710444,0.041287128,0.029494365,0.056585741,5.954,4.596,5.797,4.966
13,2003,2430000,810000,1320000,293000,6.8,5,6.391666667,6.7,35462712,8676460,19212425,22103374,0.068522678,0.042160217,0.033769533,0.059719389,5.796,4.545,5.531,4.658
14,2004,2490000,830000,1410000,334000,6.2,4.8,5.775,6,35842038,8918129,19280727,22471549,0.069471496,0.043048169,0.037451802,0.062746008,5.278,4.51,5.409,4.404
15,2005,2550000,850000,1500000,375000,6.4,4.7,4.983333333,5.4,36154147,9132553,19315721,22928508,0.070531328,0.044005606,0.041061902,0.065420742,5.26,4.46,5.28,4.44
16,2006,2675000,925000,1525000,4.00E+05,5,5.3,4.55,4.9,36457549,9363941,19306183,23507783,0.073373007,0.047912112,0.042717057,0.064872132,5.335,4.779,5.173,4.352
17,2007,2800000,1.00E+06,1550000,425000,5.4,4.71,4.6,4.3,36553215,9544750,19297729,23904380,0.076600649,0.051819569,0.044527096,0.064841673,5.241,4.915,5.104,4.144
18,2008,2650000,9.00E+05,1575000,425000,7.5,4.62,5.541666667,4.9,36756666,9685744,19490297,24326974,0.072095766,0.046176823,0.043878921,0.064742947,5.042,4.889,5.08,3.979
19,2009,2500000,8.00E+05,1600000,425000,11.2,6.47,8.416666667,7.6,36961664,9829211,19541453,24782302,0.067637647,0.040938614,0.043238465,0.064562202,4.733,4.28,4.91,3.844
20,2010,2483334,816666.6667,1616666.667,416666.6667,12,10.04,8.575,8.1,37338198,9712157,19395206,25253466,0.066509209,0.042106625,0.042901558,0.064017615,4.396,4.023,4.484,3.944
21,2011,2466667.33,833333.3333,1633333.333,408333.3333,11.6,10.39,8.275,7.7,37683933,9812460,19501616,25631778,0.065456738,0.042731501,0.041613758,0.063722982,4.112,3.746,4.086,3.972
22,2012,2450000,750000,1650000,4.00E+05,10.3,10.05,8.45,6.7,38041430,9919945,19570261,26059203,0.064403467,0.038323454,0.040322804,0.063317362,4.231,3.789,4.086,4.068
